#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_657	1033	1706	664	1140	867	933	1243	1546	1230	926	1213	1013	1962	2079	1468	1726	1243	1331
ASV_2	1901	1106	1940	1883	2382	1590	634	479	1126	1247	904	638	1113	1277	744	987	1266	1027
ASV_3	538	415	746	762	993	743	597	440	993	1005	805	674	892	1536	882	1035	1054	663
ASV_12	231	228	1487	577	1211	430	320	1838	1384	959	536	337	930	1010	682	358	879	1236
ASV_4	1381	362	440	624	1054	437	512	568	412	611	632	428	971	1199	469	513	974	799
ASV_6	856	601	659	750	1249	899	252	257	351	374	387	359	483	463	405	475	439	448
ASV_8	493	444	505	347	149	277	329	513	1448	759	490	516	543	633	488	919	391	433
ASV_18	420	917	256	355	244	402	409	394	282	493	653	412	662	512	714	358	585	376
ASV_9	333	713	287	373	224	473	289	423	602	382	525	398	502	263	388	375	645	454
ASV_10	360	315	578	629	828	557	202	171	264	270	390	279	299	494	225	226	449	248
ASV_11	298	295	275	307	476	316	469	364	226	403	335	186	351	434	441	353	286	327
ASV_13	164	159	310	302	445	333	169	496	450	289	483	188	320	237	359	251	505	454
ASV_15	310	377	348	281	310	326	368	296	263	245	384	367	254	227	276	306	296	311
ASV_14	290	278	288	318	373	302	243	172	269	291	337	250	310	460	361	411	282	288
ASV_16	224	221	416	223	120	179	156	236	543	274	213	179	355	241	212	273	686	301
ASV_17	414	276	277	360	361	512	128	108	182	223	233	187	291	254	242	262	231	233
ASV_28	255	280	50	376	107	166	159	270	147	256	238	182	347	379	214	288	390	212
ASV_20	187	386	69	228	130	143	72	117	45	178	110	107	216	248	95	113	1315	97
ASV_33	198	155	119	122	78	149	264	174	179	173	224	262	186	176	305	219	218	281
ASV_25	110	123	914	44	24	59	253	146	69	175	161	120	121	24	252	205	175	320
ASV_21	141	339	170	102	85	122	164	189	149	150	187	158	178	267	175	255	324	189
ASV_22	190	179	254	200	171	183	255	145	137	166	181	217	132	147	206	147	146	175
ASV_31	172	148	151	235	50	231	173	195	216	181	213	136	210	150	196	162	231	135
ASV_24	172	142	414	393	284	217	104	60	136	95	124	158	95	192	100	184	102	99
ASV_23	118	391	415	73	160	253	72	78	66	128	167	69	134	192	110	432	124	101
ASV_26	164	158	101	317	52	28	217	261	292	90	180	126	326	63	152	78	9	542
ASV_29	110	97	291	151	304	219	106	178	79	123	165	67	154	190	100	166	284	179
ASV_27	182	222	166	92	126	176	253	158	133	138	187	210	145	154	206	166	95	195
ASV_30	167	105	132	168	167	238	132	108	200	283	135	100	161	168	176	151	123	144
ASV_32	180	131	119	123	99	133	214	145	141	157	174	194	157	177	210	132	116	194
ASV_34	91	197	88	175	15	65	163	115	127	174	161	99	251	295	193	190	223	121
ASV_36	188	60	88	207	162	314	63	37	258	177	92	92	221	272	108	137	135	95
ASV_37	127	93	109	43	120	99	181	128	109	131	169	184	130	186	261	169	206	208
ASV_47	169	148	158	166	171	224	125	96	127	131	132	118	110	111	116	205	132	150
